Pais,Codigo ISO pais,Departamento/Estado,Ciudad_Migrada,Oficina de registro,Grupo edad,Edades,Area Conocimiento,Sub Area Conocimiento,Nivel Academico,Estado civil,Genero,Etnia de la persona,Estatura CM,Pais de Nacimiento,Departamento/Estado.1,Ciudad_Origen,x inicial,y inicial,Fecha de Registro,Cantidad de personas,concat,COMPARATIVO,Coordenada X,Coordenada Y,Mes_Año,Año
ESTADOS UNIDOS,USA,NORTH CAROLINA,WINSTON SALEM,C. ATLANTA,ADULTO,36,NINGUNA,NINGUNA,BACHILLERATO,UNION_LIBRE,MASCULINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-10-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,10-2023,2023
CANADA,CAN,ONTARIO,OAKVILLE,C. TORONTO,ADULTO,41,"INGENIERIA, ARQUITECTURA Y AFINES",INGENIERIA ELECTRICA Y AFINES,NO INDICA,DIVORCIADO,FEMENINO,NINGUNA,-1,COLOMBIA,ATLANTICO,BARRANQUILLA,56.130.366,-106.346.771,2021-08-01,1,COLOMBIAATLANTICOBARRANQUILLA,COLOMBIA,11.0101922,-74.8231794,08-2021,2021
ESTADOS UNIDOS,USA,NEW YORK,NUEVA YORK,C. NUEVA YORK,ADULTO,45,NINGUNA,NINGUNA,BACHILLERATO,SEPARADO_UNION_LIBRE,MASCULINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-03-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,03-2023,2023
ESTADOS UNIDOS,USA,SOUTH CAROLINA,WOODRUFF,C. ATLANTA,ADULTO,37,NINGUNA,NINGUNA,BACHILLERATO,UNION_LIBRE,MASCULINO,OTRO,-1,COLOMBIA,QUINDIO,MONTENEGRO,3.709.024,-95.712.891,2024-09-01,1,COLOMBIAQUINDIOMONTENEGRO,COLOMBIA,4.5664176,-75.7507081,09-2024,2024
CANADA,CAN,MANITOBA,WINNIPEG,C. CALGARY,ADULTO,37,CIENCIAS DE LA SALUD,ENFERMERIA,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,COLOMBIA,ANTIOQUIA,MEDELLIN,56.130.366,-106.346.771,2021-07-01,1,COLOMBIAANTIOQUIAMEDELLIN,COLOMBIA,6.2697325,-75.6025597,07-2021,2021
ESTADOS UNIDOS,USA,CALIFORNIA,CALIFORNIA,C. SAN FRANCISCO,ADULTO JOVEN,28,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-07-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,07-2023,2023
ESTADOS UNIDOS,USA,MINNESOTA,COON RAPIDS,C. CHICAGO,ADULTO MAYOR,63,NINGUNA,NINGUNA,BACHILLERATO,CASADO,MASCULINO,OTRO,-1,COLOMBIA,VALLE DEL CAUCA,ROLDANILLO,3.709.024,-95.712.891,2023-04-01,1,COLOMBIAVALLE DEL CAUCAROLDANILLO,COLOMBIA,4.4091166,-76.1543744,04-2023,2023
ESTADOS UNIDOS,USA,MASSACHUSETTS,MASSACHUSETTS,C. BOSTON,ADULTO,38,NINGUNA,NINGUNA,NO INDICA,CASADO,FEMENINO,OTRO,-1,COLOMBIA,SANTANDER,BUCARAMANGA,3.709.024,-95.712.891,2021-01-01,1,COLOMBIASANTANDERBUCARAMANGA,COLOMBIA,7.1669842,-73.1047294,01-2021,2021
ESTADOS UNIDOS,USA,MASSACHUSETTS,ABINGTON,C. BOSTON,ADULTO,48,CIENCIAS DE LA SALUD,ENFERMERIA,PREGRADO - PROFESIONAL,DIVORCIADO,FEMENINO,OTRO,-1,COLOMBIA,RISARALDA,PEREIRA,3.709.024,-95.712.891,2022-11-01,1,COLOMBIARISARALDAPEREIRA,COLOMBIA,4.7854606,-75.788322,11-2022,2022
ESTADOS UNIDOS,USA,TEXAS,SAN ANTONIO,C. HOUSTON,ADULTO,43,NINGUNA,NINGUNA,PRIMARIA,DIVORCIADO,MASCULINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-04-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,04-2023,2023
