CATEGORIA,puesto,salario,n_salarios,salario_min,salario_max
administracion-y-oficina,Agente profesional seguros,$ 12.000.000/mes,5 salarios,$ 12.000.000,$ 12.000.000
administracion-y-oficina,Gerente de logística,$ 6.728.626/mes,77 salarios,$ 2.000.000,$ 18.000.000
administracion-y-oficina,Operations manager,$ 6.382.823/mes,111 salarios,$ 2.400.000,$ 15.000.000
administracion-y-oficina,Director/a financiero/a,$ 5.729.731/mes,13 salarios,$ 2.500.000,$ 9.000.000
administracion-y-oficina,Gerente de mantenimiento,$ 5.631.476/mes,42 salarios,$ 1.950.000,$ 11.000.000
administracion-y-oficina,Gerente de infraestructura,$ 5.591.544/mes,32 salarios,$ 3.000.000,$ 11.000.000
administracion-y-oficina,Gerente regional,$ 5.369.496/mes,117 salarios,$ 1.200.000,$ 14.371.000
administracion-y-oficina,Médico/a auditor/a,$ 5.277.929/mes,588 salarios,$ 1.276.000,$ 8.021.000
administracion-y-oficina,Gerente de sucursal,$ 5.186.504/mes,90 salarios,$ 1.000.000,$ 16.900.000
administracion-y-oficina,Gerente de operaciones,$ 5.086.497/mes,492 salarios,$ 1.300.000,$ 10.765.568
administracion-y-oficina,Gerente de créditos,$ 4.722.406/mes,21 salarios,$ 2.100.000,$ 10.000.000
administracion-y-oficina,Director de proyecto,$ 4.681.152/mes,82 salarios,$ 1.400.000,$ 11.000.000
administracion-y-oficina,Desarrolladores java,$ 4.534.794/mes,34 salarios,$ 4.000.000,$ 4.551.000
administracion-y-oficina,Enfermero/a especialista,$ 4.525.000/mes,6 salarios,$ 3.500.000,$ 5.000.000
administracion-y-oficina,Subdirector/a,$ 4.491.709/mes,189 salarios,$ 1.500.000,$ 11.000.000
administracion-y-oficina,Customer service manager,$ 4.487.500/mes,8 salarios,$ 3.400.000,$ 5.000.000
administracion-y-oficina,Gerente de seguridad,$ 4.380.828/mes,109 salarios,$ 1.117.172,$ 10.000.000
administracion-y-oficina,Gerente de ingeniería,$ 4.338.630/mes,48 salarios,$ 1.620.000,$ 12.000.000
administracion-y-oficina,Director/a administrativo/a,$ 4.305.556/mes,18 salarios,$ 1.700.000,$ 7.000.000
administracion-y-oficina,Administrador de base de datos,$ 4.226.913/mes,90 salarios,$ 1.070.000,$ 11.000.000
administracion-y-oficina,Contador/a bilingüe,$ 4.066.667/mes,24 salarios,$ 1.500.000,$ 7.000.000
administracion-y-oficina,Gerente financiero,$ 4.063.452/mes,290 salarios,$ 1.520.812,$ 13.000.000
administracion-y-oficina,Gerente financiera,$ 4.053.760/mes,90 salarios,$ 1.837.000,$ 11.000.000
administracion-y-oficina,Director,$ 4.042.143/mes,139 salarios,$ 1.100.000,$ 12.000.000
administracion-y-oficina,Subgerencia,$ 4.029.044/mes,67 salarios,$ 1.750.000,$ 4.531.230
administracion-y-oficina,Director/a,$ 3.944.954/mes,4.673 salarios,$ 1.000.000,$ 12.000.000
administracion-y-oficina,Consultor/a ti,$ 3.811.741/mes,62 salarios,$ 1.400.000,$ 7.000.000
